date,home_team,away_team,home_score,away_score,tournament,country,victoire
1982-03-05,Libya,Ghana,2,2,African Cup of Nations,Libya,False
1982-03-09,Libya,Tunisia,2,0,African Cup of Nations,Libya,True
1982-03-12,Libya,Cameroon,0,0,African Cup of Nations,Libya,False
1982-03-16,Libya,Zambia,2,1,African Cup of Nations,Libya,True
1982-03-19,Libya,Ghana,1,1,African Cup of Nations,Libya,False
1982-06-16,Spain,Honduras,1,1,FIFA World Cup,Spain,False
1982-06-20,Spain,Yugoslavia,2,1,FIFA World Cup,Spain,True
1982-06-25,Spain,Northern Ireland,0,1,FIFA World Cup,Spain,False
1982-07-02,Spain,Germany,1,2,FIFA World Cup,Spain,False
1982-07-05,Spain,England,0,0,FIFA World Cup,Spain,False
1983-08-10,Ecuador,Argentina,2,2,Copa América,Ecuador,False
1983-08-14,Bolivia,Colombia,0,1,Copa América,Bolivia,False
1983-08-17,Ecuador,Brazil,0,1,Copa América,Ecuador,False
1983-08-17,Peru,Colombia,1,0,Copa América,Peru,True
1983-08-21,Bolivia,Peru,1,1,Copa América,Bolivia,False
1983-08-24,Argentina,Brazil,1,0,Copa América,Argentina,True
1983-08-28,Colombia,Peru,2,2,Copa América,Colombia,False
1983-08-31,Colombia,Bolivia,2,2,Copa América,Colombia,False
1983-09-01,Brazil,Ecuador,5,0,Copa América,Brazil,True
1983-09-01,Uruguay,Chile,2,1,Copa América,Uruguay,True
1983-09-04,Peru,Bolivia,2,1,Copa América,Peru,True
1983-09-04,Uruguay,Venezuela,3,0,Copa América,Uruguay,True
1983-09-07,Argentina,Ecuador,2,2,Copa América,Argentina,False
1983-09-08,Chile,Venezuela,5,0,Copa América,Chile,True
1983-09-11,Chile,Uruguay,2,0,Copa América,Chile,True
1983-09-14,Brazil,Argentina,0,0,Copa América,Brazil,False
1983-09-18,Venezuela,Uruguay,1,2,Copa América,Venezuela,False
1983-09-21,Venezuela,Chile,0,0,Copa América,Venezuela,False
1983-10-13,Paraguay,Brazil,1,1,Copa América,Paraguay,False
1983-10-13,Peru,Uruguay,0,1,Copa América,Peru,False
1983-10-20,Brazil,Paraguay,0,0,Copa América,Brazil,False
1983-10-20,Uruguay,Peru,1,1,Copa América,Uruguay,False
1983-10-27,Uruguay,Brazil,2,0,Copa América,Uruguay,True
1983-11-04,Brazil,Uruguay,1,1,Copa América,Brazil,False
1984-03-04,Ivory Coast,Togo,3,0,African Cup of Nations,Ivory Coast,True
1984-03-07,Ivory Coast,Egypt,1,2,African Cup of Nations,Ivory Coast,False
1984-03-10,Ivory Coast,Cameroon,0,2,African Cup of Nations,Ivory Coast,False
1984-06-12,France,Denmark,1,0,UEFA Euro,France,True
1984-06-16,France,Belgium,5,0,UEFA Euro,France,True
1984-06-19,France,Yugoslavia,3,2,UEFA Euro,France,True
1984-06-23,France,Portugal,3,2,UEFA Euro,France,True
1984-06-27,France,Spain,2,0,UEFA Euro,France,True
1984-12-02,Singapore,India,2,0,AFC Asian Cup,Singapore,True
1984-12-05,Singapore,China PR,0,2,AFC Asian Cup,Singapore,False
1984-12-08,Singapore,United Arab Emirates,0,1,AFC Asian Cup,Singapore,False
1984-12-10,Singapore,Iran,1,1,AFC Asian Cup,Singapore,False
1986-03-07,Egypt,Senegal,0,1,African Cup of Nations,Egypt,False
1986-03-10,Egypt,Ivory Coast,2,0,African Cup of Nations,Egypt,True
1986-03-13,Egypt,Mozambique,2,0,African Cup of Nations,Egypt,True
1986-03-17,Egypt,Morocco,1,0,African Cup of Nations,Egypt,True
1986-03-21,Egypt,Cameroon,0,0,African Cup of Nations,Egypt,False
1986-06-03,Mexico,Belgium,2,1,FIFA World Cup,Mexico,True
1986-06-07,Mexico,Paraguay,1,1,FIFA World Cup,Mexico,False
1986-06-11,Mexico,Iraq,1,0,FIFA World Cup,Mexico,True
1986-06-15,Mexico,Bulgaria,2,0,FIFA World Cup,Mexico,True
1986-06-21,Mexico,Germany,0,0,FIFA World Cup,Mexico,False
1987-06-27,Argentina,Peru,1,1,Copa América,Argentina,False
1987-07-02,Argentina,Ecuador,3,0,Copa América,Argentina,True
1987-07-09,Argentina,Uruguay,0,1,Copa América,Argentina,False
1987-07-11,Argentina,Colombia,1,2,Copa América,Argentina,False
1988-03-13,Morocco,DR Congo,1,1,African Cup of Nations,Morocco,False
1988-03-16,Morocco,Algeria,1,0,African Cup of Nations,Morocco,True
1988-03-19,Morocco,Ivory Coast,0,0,African Cup of Nations,Morocco,False
1988-03-23,Morocco,Cameroon,0,1,African Cup of Nations,Morocco,False
1988-03-26,Morocco,Algeria,1,1,African Cup of Nations,Morocco,False
1988-06-10,Germany,Italy,1,1,UEFA Euro,Germany,False
1988-06-14,Germany,Denmark,2,0,UEFA Euro,Germany,True
1988-06-17,Germany,Spain,2,0,UEFA Euro,Germany,True
1988-06-21,Germany,Netherlands,1,2,UEFA Euro,Germany,False
1988-12-02,Qatar,Iran,0,2,AFC Asian Cup,Qatar,False
1988-12-05,Qatar,United Arab Emirates,2,1,AFC Asian Cup,Qatar,True
1988-12-09,Qatar,South Korea,2,3,AFC Asian Cup,Qatar,False
1988-12-12,Qatar,Japan,3,0,AFC Asian Cup,Qatar,True
1989-07-01,Brazil,Venezuela,3,1,Copa América,Brazil,True
1989-07-03,Brazil,Peru,0,0,Copa América,Brazil,False
1989-07-07,Brazil,Colombia,0,0,Copa América,Brazil,False
1989-07-09,Brazil,Paraguay,2,0,Copa América,Brazil,True
1989-07-12,Brazil,Argentina,2,0,Copa América,Brazil,True
1989-07-14,Brazil,Paraguay,3,0,Copa América,Brazil,True
1989-07-16,Brazil,Uruguay,1,0,Copa América,Brazil,True
1990-03-02,Algeria,Nigeria,5,1,African Cup of Nations,Algeria,True
1990-03-05,Algeria,Ivory Coast,3,0,African Cup of Nations,Algeria,True
1990-03-08,Algeria,Egypt,2,0,African Cup of Nations,Algeria,True
1990-03-12,Algeria,Senegal,2,1,African Cup of Nations,Algeria,True
1990-03-16,Algeria,Nigeria,1,0,African Cup of Nations,Algeria,True
1990-06-09,Italy,Austria,1,0,FIFA World Cup,Italy,True
1990-06-14,Italy,United States,1,0,FIFA World Cup,Italy,True
1990-06-19,Italy,Czechoslovakia,2,0,FIFA World Cup,Italy,True
1990-06-25,Italy,Uruguay,2,0,FIFA World Cup,Italy,True
1990-06-30,Italy,Republic of Ireland,1,0,FIFA World Cup,Italy,True
