home_team,away_team,tournament,difference
Netherlands,Switzerland,Friendly,5
France,Portugal,Friendly,2
Germany,Netherlands,Friendly,2
Romania,Bulgaria,Friendly,5
Hungary,Austria,Friendly,3
Netherlands,Belgium,Friendly,4
Turkey,Romania,Friendly,2
Belgium,England,Friendly,2
Austria,France,Friendly,3
Yugoslavia,Bulgaria,Friendly,2
Finland,Norway,Friendly,3
Denmark,Netherlands,Friendly,3
Estonia,Lithuania,Friendly,2
France,Yugoslavia,Friendly,3
Yugoslavia,Czechoslovakia,Friendly,4
Czechoslovakia,Sweden,Friendly,2
Poland,Estonia,Friendly,2
Sweden,Italy,Friendly,2
Latvia,Sweden,Friendly,3
Estonia,Sweden,Friendly,6
Poland,Finland,Friendly,6
Latvia,Finland,Friendly,3
Hungary,Poland,Friendly,3
Poland,Turkey,Friendly,5
Denmark,Sweden,Nordic Championship,2
Sweden,Poland,Friendly,2
Austria,Switzerland,Friendly,6
Chile,Bolivia,Copa América,6
Argentina,Bolivia,Copa América,5
Chile,Uruguay,Copa América,2
Argentina,Paraguay,Copa América,8
Bolivia,Paraguay,Copa América,5
Argentina,Uruguay,Copa América,2
Bolivia,Uruguay,Copa América,6
Czechoslovakia,Italy,Friendly,2
Scotland,Wales,British Home Championship,3
Paraguay,Uruguay,Copa América,5
Chile,Paraguay,Copa América,4
United States,Canada,Friendly,4
Austria,Sweden,Friendly,2
Hungary,Sweden,Friendly,2
Jamaica,Haiti,Friendly,6
Spain,Hungary,Friendly,2
Switzerland,Italy,Friendly,4
Northern Ireland,Scotland,British Home Championship,2
Belgium,Netherlands,Friendly,2
Portugal,France,Friendly,4
Austria,Hungary,Friendly,6
Hungary,Yugoslavia,Friendly,3
Italy,Portugal,Friendly,2
Czechoslovakia,Hungary,Friendly,3
Romania,Yugoslavia,Friendly,3
Belgium,England,Friendly,8
Bulgaria,Yugoslavia,Friendly,2
Luxembourg,England,Friendly,3
Austria,Belgium,Friendly,3
France,Spain,Friendly,3
Czechoslovakia,Belgium,Friendly,4
France,England,Friendly,6
Italy,Spain,Friendly,2
Sweden,Latvia,Friendly,12
Switzerland,Austria,Friendly,3
Hungary,France,Friendly,12
Sweden,Finland,Friendly,4
Norway,Finland,Friendly,2
Estonia,Latvia,Friendly,3
Norway,Sweden,Nordic Championship,2
Sweden,Estonia,Friendly,2
New Zealand,Canada,Friendly,3
Latvia,Lithuania,Friendly,3
Lithuania,Estonia,Friendly,5
China PR,Japan,Friendly,4
China PR,Philippines,Friendly,2
Sweden,Belgium,Friendly,7
Finland,Latvia,Friendly,2
Czechoslovakia,Austria,Central European International Cup,2
Hungary,Austria,Central European International Cup,2
Latvia,Estonia,Friendly,3
Denmark,Germany,Friendly,2
Turkey,Bulgaria,Friendly,2
Northern Ireland,England,British Home Championship,2
Germany,Norway,Friendly,4
Czechoslovakia,Yugoslavia,Friendly,2
Argentina,Bolivia,Copa América,6
Denmark,Norway,Nordic Championship,2
Peru,Uruguay,Copa América,4
Bolivia,Uruguay,Copa América,9
Peru,Argentina,Copa América,4
Belgium,Republic of Ireland,Friendly,2
France,Northern Ireland,Friendly,4
England,Scotland,British Home Championship,4
Portugal,Italy,Friendly,3
Romania,Turkey,Friendly,2
Uganda,Kenya,Friendly,4
Hungary,Czechoslovakia,Central European International Cup,2
Netherlands,Denmark,Friendly,2
Austria,Yugoslavia,Friendly,3
Yugoslavia,Romania,Friendly,2
France,Czechoslovakia,Friendly,2
France,England,Friendly,4
Belgium,England,Friendly,2
Finland,Norway,Friendly,6
Sweden,Norway,Nordic Championship,5
Latvia,Sweden,Friendly,4
Latvia,Lithuania,Baltic Cup,3
Estonia,Lithuania,Baltic Cup,6
Paraguay,Uruguay,Friendly,2
Belarus,Switzerland,Friendly,3
Belarus,Ukraine,Friendly,4
Czechoslovakia,Hungary,Friendly,5
Norway,Germany,Friendly,2
Sweden,Germany,Friendly,2
Austria,Hungary,Central European International Cup,4
Denmark,Sweden,Nordic Championship,2
Scotland,Wales,British Home Championship,2
Austria,Switzerland,Central European International Cup,2
Czechoslovakia,Yugoslavia,Friendly,6
Hungary,Switzerland,Central European International Cup,2
El Salvador,Honduras,Friendly,5
Germany,Switzerland,Friendly,6
Northern Ireland,Scotland,British Home Championship,4
France,Hungary,Friendly,3
Italy,Czechoslovakia,Central European International Cup,2
Spain,Portugal,Friendly,5
France,Portugal,Friendly,2
Austria,Italy,Central European International Cup,3
Spain,France,Friendly,7
Barbados,Trinidad and Tobago,Friendly,3
Romania,Bulgaria,Friendly,3
Barbados,Trinidad and Tobago,Friendly,2
Republic of Ireland,Belgium,Friendly,4
El Salvador,Nicaragua,Friendly,9
Belgium,Netherlands,Friendly,2
Switzerland,Czechoslovakia,Central European International Cup,3
France,England,Friendly,3
Belgium,England,Friendly,4
Kenya,Uganda,Friendly,2
France,Yugoslavia,Friendly,2
Belgium,France,Friendly,3
Norway,Scotland,Friendly,4
Netherlands,Scotland,Friendly,2
Sweden,Netherlands,Friendly,4
Sweden,Finland,Nordic Championship,2
Argentina,Uruguay,Friendly,2
Norway,Finland,Nordic Championship,4
Denmark,Norway,Nordic Championship,3
Germany,Sweden,Friendly,3
Sweden,Estonia,Friendly,3
Sweden,Latvia,Friendly,10
Latvia,Lithuania,Baltic Cup,2
Estonia,Lithuania,Baltic Cup,3
Finland,Latvia,Friendly,2
Estonia,Latvia,Friendly,3
Czechoslovakia,Switzerland,Central European International Cup,5
Denmark,Finland,Nordic Championship,8
Northern Ireland,England,British Home Championship,3
Germany,Finland,Friendly,4
Wales,Scotland,British Home Championship,2
Switzerland,Austria,Central European International Cup,2
Paraguay,Uruguay,Copa América,3
Argentina,Peru,Copa América,3
Netherlands,Norway,Friendly,3
Trinidad and Tobago,Guyana,Friendly,2
Argentina,Paraguay,Copa América,3
Peru,Uruguay,Copa América,3
Paraguay,Peru,Copa América,5
Argentina,Uruguay,Copa América,2
England,Wales,British Home Championship,6
Italy,Portugal,Friendly,5
Northern Ireland,Wales,British Home Championship,7
Italy,Switzerland,Friendly,2
Scotland,Northern Ireland,British Home Championship,2
Portugal,France,Friendly,2
Germany,Italy,Friendly,2
England,Scotland,British Home Championship,3
France,Belgium,Friendly,5
Yugoslavia,Bulgaria,Friendly,5
Uganda,Kenya,Friendly,5
Switzerland,Germany,Friendly,5
Belgium,Republic of Ireland,Friendly,2
Hungary,Italy,Central European International Cup,5
Belgium,Netherlands,Friendly,2
France,Scotland,Friendly,2
Romania,Greece,Balkan Cup,7
China PR,Philippines,Friendly,5
Norway,Finland,Nordic Championship,4
Hungary,Netherlands,Friendly,4
Czechoslovakia,Spain,Friendly,2
Finland,Denmark,Nordic Championship,5
Norway,Switzerland,Friendly,3
Denmark,Sweden,Nordic Championship,5
Sweden,Norway,Nordic Championship,3
Belgium,United States,FIFA World Cup,3
France,Mexico,FIFA World Cup,3
Peru,Romania,FIFA World Cup,2
Chile,Mexico,FIFA World Cup,3
Bolivia,Yugoslavia,FIFA World Cup,4
Paraguay,United States,FIFA World Cup,3
Estonia,Sweden,Friendly,4
Argentina,Mexico,FIFA World Cup,3
Bolivia,Brazil,FIFA World Cup,4
Uruguay,Romania,FIFA World Cup,4
Argentina,Chile,FIFA World Cup,2
Latvia,Sweden,Friendly,5
Argentina,United States,FIFA World Cup,5
Uruguay,Yugoslavia,FIFA World Cup,5
Uruguay,Argentina,FIFA World Cup,2
Argentina,Yugoslavia,Friendly,2
Latvia,Finland,Friendly,3
Estonia,Finland,Friendly,4
Brazil,Yugoslavia,Friendly,3
Denmark,Germany,Friendly,3
Lithuania,Estonia,Friendly,4
Germany,Hungary,Friendly,2
Sweden,Poland,Friendly,3
Bulgaria,Romania,Balkan Cup,2
England,Northern Ireland,British Home Championship,4
Poland,Latvia,Friendly,6
Switzerland,Netherlands,Friendly,3
Austria,Sweden,Friendly,3
Bulgaria,Yugoslavia,Balkan Cup,3
Wales,England,British Home Championship,4
Greece,Bulgaria,Balkan Cup,5
Italy,France,Friendly,5
Barbados,Trinidad and Tobago,Friendly,4
Guyana,Trinidad and Tobago,Friendly,2
Barbados,Trinidad and Tobago,Friendly,6
Guyana,Barbados,Friendly,9
Guyana,Barbados,Friendly,7
Yugoslavia,Greece,Balkan Cup,3
Scotland,England,British Home Championship,2
Hungary,Switzerland,Central European International Cup,4
Portugal,Italy,Friendly,2
Belgium,Netherlands,Friendly,2
Romania,Bulgaria,Balkan Cup,3
France,England,Friendly,3
Austria,Scotland,Friendly,5
Belgium,England,Friendly,3
Italy,Scotland,Friendly,3
Germany,Austria,Friendly,6
Denmark,Norway,Nordic Championship,2
Estonia,Lithuania,Friendly,3
Czechoslovakia,Switzerland,Central European International Cup,4
Denmark,Netherlands,Friendly,2
Poland,Czechoslovakia,Friendly,4
Austria,Switzerland,Friendly,2
Finland,Estonia,Friendly,2
Sweden,Denmark,Nordic Championship,2
Yugoslavia,Romania,Balkan Cup,2
Latvia,Lithuania,Friendly,3
Sweden,Finland,Nordic Championship,6
Sweden,Estonia,Friendly,2
Argentina,Paraguay,Copa Chevallier Boutell,2
Sweden,Latvia,Friendly,6
Finland,Latvia,Friendly,4
Lithuania,Romania,Friendly,2
Estonia,Lithuania,Baltic Cup,2
Estonia,Latvia,Baltic Cup,2
Brazil,Uruguay,Copa Rio Branco,2
Austria,Germany,Friendly,5
Scotland,Northern Ireland,British Home Championship,2
Hungary,Czechoslovakia,Friendly,3
Bulgaria,Turkey,Balkan Cup,4
Germany,Denmark,Friendly,2
Turkey,Yugoslavia,Balkan Cup,2
Northern Ireland,England,British Home Championship,4
Poland,Yugoslavia,Friendly,3
Hungary,Sweden,Friendly,2
England,Wales,British Home Championship,2
Greece,Romania,Balkan Cup,2
Switzerland,Austria,Central European International Cup,7
Northern Ireland,Wales,British Home Championship,4
England,Spain,Friendly,6
Republic of Ireland,Spain,Friendly,5
Italy,Switzerland,Central European International Cup,3
Germany,Switzerland,Friendly,2
Haiti,Jamaica,Friendly,3
Belgium,Netherlands,Friendly,3
Czechoslovakia,Hungary,Friendly,2
England,Scotland,British Home Championship,3
