home_team,away_team,home_score,away_score,tournament,difference
Finland,Poland,5,3,Friendly,2
Hungary,Austria,2,0,Friendly,2
Estonia,Poland,1,4,Friendly,3
Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,2
Sweden,Denmark,1,3,Friendly,2
France,Norway,0,2,Friendly,2
Brittany,Norway,1,5,Friendly,4
Uruguay,Paraguay,2,0,Copa América,2
Brazil,Paraguay,2,0,Friendly,2
Netherlands,Switzerland,4,1,Friendly,3
Argentina,Brazil,0,2,Friendly,2
Uruguay,Argentina,2,0,Copa América,2
Argentina,Brazil,2,0,Copa Roca,2
Mexico,Guatemala,2,0,Friendly,2
Spain,Portugal,3,0,Friendly,3
France,Belgium,2,0,Friendly,2
Italy,Austria,0,4,Friendly,4
Yugoslavia,Austria,1,4,Friendly,3
Wales,Scotland,2,0,British Home Championship,2
Scotland,Northern Ireland,2,0,British Home Championship,2
Catalonia,Spain,0,7,Friendly,7
Switzerland,France,3,0,Friendly,3
Aruba,Curaçao,0,4,Friendly,4
Hungary,Italy,7,1,Friendly,6
Switzerland,Denmark,2,0,Friendly,2
Paraguay,Argentina,1,3,Copa Chevallier Boutell,2
France,England,1,3,Friendly,2
Sweden,Poland,5,1,Friendly,4
Switzerland,Hungary,4,2,Friendly,2
Austria,Romania,4,1,Friendly,3
Austria,Bulgaria,6,0,Friendly,6
Argentina,Uruguay,4,0,Copa Newton,4
Uruguay,Argentina,2,0,Copa Lipton,2
Egypt,Lithuania,10,0,Friendly,10
Norway,Germany,0,2,Friendly,2
Finland,Turkey,2,4,Friendly,2
Estonia,Turkey,1,4,Friendly,3
Austria,Egypt,3,1,Friendly,2
Latvia,Turkey,1,3,Friendly,2
Australia,Canada,4,1,Friendly,3
Poland,Turkey,2,0,Friendly,2
Sweden,Egypt,5,0,Friendly,5
Australia,Canada,1,4,Friendly,3
Sweden,Estonia,5,2,Friendly,3
Finland,Sweden,5,7,Friendly,2
Latvia,Finland,0,2,Friendly,2
Finland,Norway,2,0,Friendly,2
Czechoslovakia,Romania,4,1,Friendly,3
Germany,Sweden,1,4,Friendly,3
Hungary,Poland,4,0,Friendly,4
Finland,Estonia,4,0,Friendly,4
Norway,Denmark,1,3,Nordic Championship,2
Hungary,Germany,4,1,Friendly,3
Sweden,Norway,6,1,Nordic Championship,5
Yugoslavia,Czechoslovakia,0,2,Friendly,2
Latvia,Estonia,2,0,Friendly,2
Uruguay,Chile,5,0,Copa América,5
England,Northern Ireland,3,1,British Home Championship,2
Argentina,Chile,2,0,Copa América,2
Uruguay,Paraguay,3,1,Copa América,2
Chile,Paraguay,1,3,Copa América,2
Belgium,France,3,0,Friendly,3
Russia,Turkey,3,0,Friendly,3
England,Belgium,4,0,Friendly,4
Scotland,Wales,3,1,British Home Championship,2
Northern Ireland,Scotland,0,3,British Home Championship,3
Austria,Switzerland,2,0,Friendly,2
Italy,France,7,0,Friendly,7
Hungary,Switzerland,5,0,Friendly,5
Haiti,Jamaica,0,3,Friendly,3
Scotland,England,2,0,British Home Championship,2
France,Austria,0,4,Friendly,4
Switzerland,Netherlands,4,1,Friendly,3
Netherlands,Belgium,5,0,Friendly,5
Austria,Hungary,3,1,Friendly,2
China PR,Japan,2,0,Friendly,2
Hungary,Belgium,1,3,Friendly,2
Philippines,China PR,1,5,Friendly,4
Czechoslovakia,Austria,3,1,Friendly,2
Bulgaria,Romania,2,4,Friendly,2
Switzerland,Spain,0,3,Friendly,3
Sweden,Finland,4,0,Friendly,4
Sweden,Denmark,0,2,Nordic Championship,2
Denmark,Norway,5,1,Nordic Championship,4
Finland,Germany,3,5,Friendly,2
Estonia,Finland,2,0,Friendly,2
Sweden,Austria,2,4,Friendly,2
Sweden,Hungary,6,2,Friendly,4
Poland,Hungary,0,2,Friendly,2
Finland,Latvia,3,1,Friendly,2
Norway,Sweden,3,7,Nordic Championship,4
Czechoslovakia,Hungary,2,0,Friendly,2
Netherlands,Denmark,4,2,Friendly,2
Switzerland,Germany,0,4,Friendly,4
Czechoslovakia,Yugoslavia,7,0,Friendly,7
Wales,Scotland,0,3,British Home Championship,3
Poland,Sweden,2,6,Friendly,4
Switzerland,Austria,2,0,Friendly,2
United States,Canada,6,1,Friendly,5
Argentina,Paraguay,2,0,Copa América,2
Brazil,Paraguay,5,2,Copa América,3
Argentina,Brazil,4,1,Copa América,3
Brazil,Paraguay,3,1,Copa América,2
Argentina,Paraguay,3,1,Copa América,2
Italy,Czechoslovakia,3,1,Friendly,2
Northern Ireland,Wales,3,0,British Home Championship,3
Belgium,Hungary,0,2,Friendly,2
Scotland,Northern Ireland,4,0,British Home Championship,4
England,Wales,1,3,British Home Championship,2
Jamaica,Curaçao,2,0,Friendly,2
Austria,Czechoslovakia,2,0,Friendly,2
Italy,Republic of Ireland,3,0,Friendly,3
Netherlands,Switzerland,5,0,Friendly,5
France,Portugal,4,2,Friendly,2
Germany,Netherlands,4,2,Friendly,2
Romania,Bulgaria,6,1,Friendly,5
Hungary,Austria,0,3,Friendly,3
Netherlands,Belgium,1,5,Friendly,4
Turkey,Romania,1,3,Friendly,2
Belgium,England,3,5,Friendly,2
Austria,France,4,1,Friendly,3
Yugoslavia,Bulgaria,3,1,Friendly,2
Finland,Norway,2,5,Friendly,3
Denmark,Netherlands,4,1,Friendly,3
Estonia,Lithuania,3,1,Friendly,2
France,Yugoslavia,4,1,Friendly,3
Yugoslavia,Czechoslovakia,2,6,Friendly,4
Czechoslovakia,Sweden,4,2,Friendly,2
Poland,Estonia,2,0,Friendly,2
Sweden,Italy,5,3,Friendly,2
Latvia,Sweden,4,1,Friendly,3
Estonia,Sweden,1,7,Friendly,6
Poland,Finland,7,1,Friendly,6
Latvia,Finland,1,4,Friendly,3
Hungary,Poland,4,1,Friendly,3
Poland,Turkey,6,1,Friendly,5
Denmark,Sweden,2,0,Nordic Championship,2
Sweden,Poland,3,1,Friendly,2
Austria,Switzerland,7,1,Friendly,6
Chile,Bolivia,7,1,Copa América,6
Argentina,Bolivia,5,0,Copa América,5
Chile,Uruguay,1,3,Copa América,2
Argentina,Paraguay,8,0,Copa América,8
Bolivia,Paraguay,1,6,Copa América,5
Argentina,Uruguay,0,2,Copa América,2
Bolivia,Uruguay,0,6,Copa América,6
Czechoslovakia,Italy,3,1,Friendly,2
Scotland,Wales,3,0,British Home Championship,3
Paraguay,Uruguay,1,6,Copa América,5
Chile,Paraguay,5,1,Copa América,4
United States,Canada,6,2,Friendly,4
Austria,Sweden,3,1,Friendly,2
Hungary,Sweden,3,1,Friendly,2
Jamaica,Haiti,6,0,Friendly,6
Spain,Hungary,4,2,Friendly,2
Switzerland,Italy,1,5,Friendly,4
Northern Ireland,Scotland,0,2,British Home Championship,2
Belgium,Netherlands,2,0,Friendly,2
Portugal,France,4,0,Friendly,4
Austria,Hungary,6,0,Friendly,6
Hungary,Yugoslavia,3,0,Friendly,3
Italy,Portugal,3,1,Friendly,2
Czechoslovakia,Hungary,4,1,Friendly,3
Romania,Yugoslavia,0,3,Friendly,3
Belgium,England,1,9,Friendly,8
Bulgaria,Yugoslavia,0,2,Friendly,2
Luxembourg,England,2,5,Friendly,3
Austria,Belgium,4,1,Friendly,3
France,Spain,1,4,Friendly,3
Czechoslovakia,Belgium,4,0,Friendly,4
France,England,0,6,Friendly,6
Italy,Spain,2,0,Friendly,2
Sweden,Latvia,12,0,Friendly,12
Switzerland,Austria,1,4,Friendly,3
Hungary,France,13,1,Friendly,12
Sweden,Finland,6,2,Friendly,4
Norway,Finland,3,1,Friendly,2
Estonia,Latvia,4,1,Friendly,3
Norway,Sweden,3,5,Nordic Championship,2
Sweden,Estonia,3,1,Friendly,2
New Zealand,Canada,1,4,Friendly,3
Latvia,Lithuania,6,3,Friendly,3
Lithuania,Estonia,0,5,Friendly,5
China PR,Japan,5,1,Friendly,4
China PR,Philippines,3,1,Friendly,2
Sweden,Belgium,7,0,Friendly,7
Finland,Latvia,3,1,Friendly,2
Czechoslovakia,Austria,2,0,Central European International Cup,2
Hungary,Austria,5,3,Central European International Cup,2
Latvia,Estonia,4,1,Friendly,3
Denmark,Germany,3,1,Friendly,2
Turkey,Bulgaria,3,1,Friendly,2
Northern Ireland,England,2,0,British Home Championship,2
Germany,Norway,6,2,Friendly,4
Czechoslovakia,Yugoslavia,5,3,Friendly,2
Argentina,Bolivia,7,1,Copa América,6
Denmark,Norway,3,1,Nordic Championship,2
Peru,Uruguay,0,4,Copa América,4
Bolivia,Uruguay,0,9,Copa América,9
Peru,Argentina,1,5,Copa América,4
Belgium,Republic of Ireland,2,4,Friendly,2
France,Northern Ireland,4,0,Friendly,4
England,Scotland,1,5,British Home Championship,4
