home_team,away_team,home_score,away_score,tournament,difference
Singapore,Hong Kong,2,0,Friendly,2
Sweden,Brazil,0,3,Friendly,3
Wales,Bosnia and Herzegovina,0,2,Friendly,2
India,Maldives,3,0,Nehru Cup,3
Libya,Sudan,3,0,Friendly,3
Nepal,Cameroon,0,5,Nehru Cup,5
Cameroon,Maldives,3,1,Nehru Cup,2
Syria,Nepal,2,0,Nehru Cup,2
Martinique,British Virgin Islands,16,0,CFU Caribbean Cup qualification,16
Montserrat,Suriname,1,7,CFU Caribbean Cup qualification,6
Lebanon,Australia,0,3,Friendly,3
Albania,Cyprus,3,1,FIFA World Cup qualification,2
Andorra,Hungary,0,5,FIFA World Cup qualification,5
Argentina,Paraguay,3,1,FIFA World Cup qualification,2
British Virgin Islands,Suriname,0,4,CFU Caribbean Cup qualification,4
Colombia,Uruguay,4,0,FIFA World Cup qualification,4
Costa Rica,Mexico,0,2,FIFA World Cup qualification,2
Cuba,Honduras,0,3,FIFA World Cup qualification,3
Estonia,Romania,0,2,FIFA World Cup qualification,2
Germany,Faroe Islands,3,0,FIFA World Cup qualification,3
Guatemala,Antigua and Barbuda,3,1,FIFA World Cup qualification,2
Haiti,Saint Martin,7,0,CFU Caribbean Cup qualification,7
Iceland,Norway,2,0,FIFA World Cup qualification,2
Liechtenstein,Bosnia and Herzegovina,1,8,FIFA World Cup qualification,7
Martinique,Montserrat,5,0,CFU Caribbean Cup qualification,5
Moldova,England,0,5,FIFA World Cup qualification,5
Netherlands,Turkey,2,0,FIFA World Cup qualification,2
New Caledonia,New Zealand,0,2,FIFA World Cup qualification,2
Russia,Northern Ireland,2,0,FIFA World Cup qualification,2
Singapore,Philippines,0,2,Friendly,2
Slovenia,Switzerland,0,2,FIFA World Cup qualification,2
Solomon Islands,Tahiti,2,0,FIFA World Cup qualification,2
Spain,Saudi Arabia,5,0,Friendly,5
Uzbekistan,Kuwait,3,0,Friendly,3
Wales,Belgium,0,2,FIFA World Cup qualification,2
Cape Verde,Cameroon,2,0,African Cup of Nations qualification,2
DR Congo,Equatorial Guinea,4,0,African Cup of Nations qualification,4
Ghana,Malawi,2,0,African Cup of Nations qualification,2
Ivory Coast,Senegal,4,2,African Cup of Nations qualification,2
Mali,Botswana,3,0,African Cup of Nations qualification,3
Sudan,Ethiopia,5,3,African Cup of Nations qualification,2
British Virgin Islands,Montserrat,0,7,CFU Caribbean Cup qualification,7
Haiti,Bermuda,3,1,CFU Caribbean Cup qualification,2
Mozambique,Morocco,2,0,African Cup of Nations qualification,2
Puerto Rico,Saint Martin,9,0,CFU Caribbean Cup qualification,9
Zimbabwe,Angola,3,1,African Cup of Nations qualification,2
Brazil,China PR,8,0,Friendly,8
Indonesia,North Korea,0,2,Friendly,2
Bosnia and Herzegovina,Latvia,4,1,FIFA World Cup qualification,3
Chile,Colombia,1,3,FIFA World Cup qualification,2
France,Belarus,3,1,FIFA World Cup qualification,2
Greece,Lithuania,2,0,FIFA World Cup qualification,2
Hungary,Netherlands,1,4,FIFA World Cup qualification,3
Republic of Ireland,Oman,4,1,Friendly,3
Israel,Russia,0,4,FIFA World Cup qualification,4
Italy,Malta,2,0,FIFA World Cup qualification,2
Liberia,Ghana,2,0,Friendly,2
Malaysia,Vietnam,0,2,Friendly,2
New Zealand,Solomon Islands,6,1,FIFA World Cup qualification,5
Panama,Canada,2,0,FIFA World Cup qualification,2
Paraguay,Venezuela,0,2,FIFA World Cup qualification,2
Poland,Moldova,2,0,FIFA World Cup qualification,2
Portugal,Azerbaijan,3,0,FIFA World Cup qualification,3
Romania,Andorra,4,0,FIFA World Cup qualification,4
San Marino,Montenegro,0,6,FIFA World Cup qualification,6
Serbia,Wales,6,1,FIFA World Cup qualification,5
Slovakia,Liechtenstein,2,0,FIFA World Cup qualification,2
South Africa,Mozambique,2,0,Friendly,2
Saint Martin,Bermuda,0,8,CFU Caribbean Cup qualification,8
Sweden,Kazakhstan,2,0,FIFA World Cup qualification,2
Switzerland,Albania,2,0,FIFA World Cup qualification,2
Tahiti,New Caledonia,0,4,FIFA World Cup qualification,4
Turkey,Estonia,3,0,FIFA World Cup qualification,3
United Arab Emirates,Kuwait,3,0,Friendly,3
Senegal,Ivory Coast,0,2,African Cup of Nations qualification,2
Guadeloupe,Saint Pierre and Miquelon,13,0,African Nations Championship,13
Martinique,New Caledonia,2,0,African Nations Championship,2
Réunion,French Guiana,2,0,African Nations Championship,2
Tahiti,Mayotte,1,3,African Nations Championship,2
Guadeloupe,French Guiana,4,2,African Nations Championship,2
New Caledonia,Mayotte,0,2,African Nations Championship,2
Réunion,Saint Pierre and Miquelon,10,0,African Nations Championship,10
French Guiana,Saint Pierre and Miquelon,11,1,African Nations Championship,10
Martinique,Mayotte,3,0,African Nations Championship,3
Philippines,Macau,5,0,Friendly,5
Saint Pierre and Miquelon,New Caledonia,1,16,African Nations Championship,15
Macau,Guam,0,3,Friendly,3
Philippines,Taiwan,3,1,Friendly,2
Cambodia,Timor-Leste,1,5,AFF Championship,4
Timor-Leste,Laos,3,1,AFF Championship,2
French Guiana,Trinidad and Tobago,1,4,CFU Caribbean Cup qualification,3
Brazil,Iraq,6,0,Friendly,6
Brunei,Laos,1,3,AFF Championship,2
Myanmar,Cambodia,3,0,AFF Championship,3
Argentina,Uruguay,3,0,FIFA World Cup qualification,3
Armenia,Italy,1,3,FIFA World Cup qualification,2
Belarus,Spain,0,4,FIFA World Cup qualification,4
Canada,Cuba,3,0,FIFA World Cup qualification,3
Colombia,Paraguay,2,0,FIFA World Cup qualification,2
Czech Republic,Malta,3,1,FIFA World Cup qualification,2
Ecuador,Chile,3,1,FIFA World Cup qualification,2
Egypt,Congo,3,0,Friendly,3
England,San Marino,5,0,FIFA World Cup qualification,5
French Guiana,Anguilla,4,1,CFU Caribbean Cup qualification,3
Guyana,Mexico,0,5,FIFA World Cup qualification,5
Republic of Ireland,Germany,1,6,FIFA World Cup qualification,5
Liechtenstein,Lithuania,0,2,FIFA World Cup qualification,2
Luxembourg,Israel,0,6,FIFA World Cup qualification,6
Netherlands,Andorra,3,0,FIFA World Cup qualification,3
Serbia,Belgium,0,3,FIFA World Cup qualification,3
Solomon Islands,New Caledonia,2,6,FIFA World Cup qualification,4
Tahiti,New Zealand,0,2,FIFA World Cup qualification,2
Saint Kitts and Nevis,French Guiana,0,3,CFU Caribbean Cup qualification,3
Trinidad and Tobago,Anguilla,10,0,CFU Caribbean Cup qualification,10
Austria,Kazakhstan,4,0,FIFA World Cup qualification,4
Belarus,Georgia,2,0,FIFA World Cup qualification,2
Belgium,Scotland,2,0,FIFA World Cup qualification,2
Bolivia,Uruguay,4,1,FIFA World Cup qualification,3
Bosnia and Herzegovina,Lithuania,3,0,FIFA World Cup qualification,3
Colombia,Cameroon,3,0,Friendly,3
Costa Rica,Guyana,7,0,FIFA World Cup qualification,7
Croatia,Wales,2,0,FIFA World Cup qualification,2
Cyprus,Norway,1,3,FIFA World Cup qualification,2
Faroe Islands,Republic of Ireland,1,4,FIFA World Cup qualification,3
Honduras,Canada,8,1,FIFA World Cup qualification,7
Hong Kong,Malaysia,0,3,Friendly,3
Hungary,Turkey,3,1,FIFA World Cup qualification,2
Iceland,Switzerland,0,2,FIFA World Cup qualification,2
Israel,Luxembourg,3,0,FIFA World Cup qualification,3
Italy,Denmark,3,1,FIFA World Cup qualification,2
Jamaica,Antigua and Barbuda,4,1,FIFA World Cup qualification,3
Japan,Brazil,0,4,Friendly,4
Latvia,Liechtenstein,2,0,FIFA World Cup qualification,2
Mexico,El Salvador,2,0,FIFA World Cup qualification,2
New Caledonia,Solomon Islands,5,0,FIFA World Cup qualification,5
New Zealand,Tahiti,3,0,FIFA World Cup qualification,3
Romania,Netherlands,1,4,FIFA World Cup qualification,3
San Marino,Moldova,0,2,FIFA World Cup qualification,2
Singapore,India,2,0,Friendly,2
United Arab Emirates,Bahrain,6,2,Friendly,4
United States,Guatemala,3,1,FIFA World Cup qualification,2
Saint Lucia,Curaçao,5,1,CFU Caribbean Cup qualification,4
Artsakh,Abkhazia,3,0,Friendly,3
Guadeloupe,Dominican Republic,0,2,CFU Caribbean Cup qualification,2
Guadeloupe,Puerto Rico,4,1,CFU Caribbean Cup qualification,3
Saint Vincent and the Grenadines,Curaçao,4,0,CFU Caribbean Cup qualification,4
Vietnam,Laos,4,0,VFF Cup,4
Puerto Rico,Dominican Republic,1,3,CFU Caribbean Cup qualification,2
Laos,Turkmenistan,2,4,VFF Cup,2
Iran,Tajikistan,6,1,Friendly,5
Thailand,Malaysia,2,0,Friendly,2
Bahrain,Jordan,3,0,Friendly,3
Andorra,Iceland,0,2,Friendly,2
Armenia,Lithuania,4,2,Friendly,2
Austria,Ivory Coast,0,3,Friendly,3
Cuba,Suriname,5,0,CFU Caribbean Cup qualification,5
Cyprus,Finland,0,3,Friendly,3
Czech Republic,Slovakia,3,0,Friendly,3
Hungary,Norway,0,2,Friendly,2
Montenegro,San Marino,3,0,FIFA World Cup qualification,3
Panama,Spain,1,5,Friendly,4
Paraguay,Guatemala,3,1,Friendly,2
Poland,Uruguay,1,3,Friendly,2
Serbia,Chile,3,1,Friendly,2
Sweden,England,4,2,Friendly,2
Thailand,Bhutan,5,0,Friendly,5
Venezuela,Nigeria,1,3,Friendly,2
Trinidad and Tobago,Suriname,3,0,CFU Caribbean Cup qualification,3
Thailand,Bangladesh,5,0,Friendly,5
Singapore,Pakistan,4,0,Friendly,4
Guam,Northern Mariana Islands,8,0,Friendly,8
Burundi,Somalia,5,1,CECAFA Cup,4
Malaysia,Singapore,0,3,AFF Championship,3
Tanzania,Sudan,2,0,CECAFA Cup,2
Rwanda,Malawi,2,0,CECAFA Cup,2
South Sudan,Kenya,0,2,CECAFA Cup,2
Thailand,Myanmar,4,0,AFF Championship,4
Malaysia,Laos,4,1,AFF Championship,3
Palestine,Bahrain,0,2,Friendly,2
Kenya,Ethiopia,3,1,CECAFA Cup,2
Philippines,Myanmar,2,0,AFF Championship,2
Thailand,Vietnam,3,1,AFF Championship,2
Uganda,South Sudan,4,0,CECAFA Cup,4
Eritrea,Rwanda,0,2,CECAFA Cup,2
Malawi,Zanzibar,2,0,CECAFA Cup,2
Malaysia,Indonesia,2,0,AFF Championship,2
Mauritius,Comoros,2,0,African Nations Championship,2
Somalia,Tanzania,0,7,CECAFA Cup,7
Mozambique,Seychelles,4,0,African Nations Championship,4
North Korea,Guam,5,0,EAFF Championship,5
Rwanda,Tanzania,0,2,CECAFA Cup,2
Uganda,Ethiopia,2,0,CECAFA Cup,2
Uganda,Tanzania,3,0,CECAFA Cup,3
Guam,Australia,0,9,EAFF Championship,9
Hong Kong,Taiwan,2,0,EAFF Championship,2
Antigua and Barbuda,Trinidad and Tobago,2,0,CFU Caribbean Cup,2
Australia,Taiwan,8,0,EAFF Championship,8
Hong Kong,North Korea,0,4,EAFF Championship,4
Kuwait,Oman,0,2,WAFF Championship,2
French Guiana,Martinique,1,3,CFU Caribbean Cup,2
Thailand,Malaysia,2,0,AFF Championship,2
North Macedonia,Poland,1,4,Friendly,3
Oman,Iraq,0,2,WAFF Championship,2
Oman,Benin,2,0,Friendly,2
Singapore,Thailand,3,1,AFF Championship,2
South Africa,Malawi,3,1,Friendly,2
United Arab Emirates,Yemen,2,0,Friendly,2
Qatar,Egypt,0,2,Friendly,2
Bahrain,Guinea,3,0,Friendly,3
United Arab Emirates,Yemen,3,1,Friendly,2
Basque Country,Bolivia,6,1,Friendly,5
Niger,Togo,3,1,Friendly,2
Qatar,United Arab Emirates,1,3,Gulf Cup,2
Zambia,Angola,0,2,Friendly,2
Kuwait,Yemen,2,0,Gulf Cup,2
Saudi Arabia,Iraq,0,2,Gulf Cup,2
Yemen,Saudi Arabia,0,2,Gulf Cup,2
Ghana,Egypt,3,0,Friendly,3
Panama,Guatemala,3,0,Friendly,3
United Arab Emirates,Oman,2,0,Gulf Cup,2
Iraq,Yemen,2,0,Gulf Cup,2
Angola,Botswana,2,0,Friendly,2
Ghana,Tunisia,4,2,Friendly,2
Panama,Guatemala,2,0,Friendly,2
Ivory Coast,Egypt,4,2,Friendly,2
Eswatini,Burkina Faso,0,3,Friendly,3
Bahrain,Kuwait,1,6,Gulf Cup,5
Chile,Haiti,3,0,Friendly,3
Costa Rica,Nicaragua,2,0,UNCAF Cup,2
South Africa,Angola,2,0,African Cup of Nations,2
Thailand,Finland,1,3,King's Cup,2
Burkina Faso,Ethiopia,4,0,African Cup of Nations,4
Guatemala,Panama,1,3,UNCAF Cup,2
Algeria,Togo,0,2,African Cup of Nations,2
Ivory Coast,Tunisia,3,0,African Cup of Nations,3
Sweden,Finland,3,0,King's Cup,3
Niger,Ghana,0,3,African Cup of Nations,3
Ethiopia,Nigeria,0,2,African Cup of Nations,2
Jordan,Indonesia,5,0,Friendly,5
Ghana,Cape Verde,2,0,African Cup of Nations,2
Romania,Poland,1,4,Friendly,3
Croatia,South Korea,4,0,Friendly,4
Cyprus,Serbia,1,3,Friendly,2
Iceland,Russia,0,2,Friendly,2
India,Palestine,2,4,Friendly,2
Iran,Lebanon,5,0,AFC Asian Cup qualification,5
Republic of Ireland,Poland,2,0,Friendly,2
Japan,Latvia,3,0,Friendly,3
Jordan,Singapore,4,0,AFC Asian Cup qualification,4
Kenya,Libya,3,0,Friendly,3
North Macedonia,Denmark,3,0,Friendly,3
Mali,Nigeria,1,4,African Cup of Nations,3
Moldova,Kazakhstan,1,3,Friendly,2
Norway,Ukraine,0,2,Friendly,2
Qatar,Malaysia,2,0,AFC Asian Cup qualification,2
Slovenia,Bosnia and Herzegovina,0,3,Friendly,3
Spain,Uruguay,3,1,Friendly,2
Thailand,Kuwait,1,3,AFC Asian Cup qualification,2
Turkey,Czech Republic,0,2,Friendly,2
Yemen,Bahrain,0,2,AFC Asian Cup qualification,2
Mali,Ghana,3,1,African Cup of Nations,2
Maldives,Pakistan,3,0,Friendly,3
Gambia,Mauritania,0,2,Friendly,2
Myanmar,Guam,5,0,AFC Challenge Cup qualification,5
Nepal,Northern Mariana Islands,6,0,AFC Challenge Cup qualification,6
Guam,India,0,4,AFC Challenge Cup qualification,4
Laos,Sri Lanka,4,2,AFC Challenge Cup qualification,2
Nepal,Bangladesh,0,2,AFC Challenge Cup qualification,2
Northern Mariana Islands,Palestine,0,9,AFC Challenge Cup qualification,9
Bangladesh,Northern Mariana Islands,4,0,AFC Challenge Cup qualification,4
Sri Lanka,Mongolia,3,0,AFC Challenge Cup qualification,3
Qatar,Egypt,3,1,Friendly,2
Senegal,Libya,0,4,Friendly,4
Malaysia,Saudi Arabia,1,4,Friendly,3
Macau,Tajikistan,0,3,AFC Challenge Cup qualification,3
Oman,Haiti,3,0,Friendly,3
Ecuador,El Salvador,5,0,Friendly,5
Pakistan,Macau,2,0,AFC Challenge Cup qualification,2
Andorra,Turkey,0,2,FIFA World Cup qualification,2
Argentina,Venezuela,3,0,FIFA World Cup qualification,3
Austria,Faroe Islands,6,0,FIFA World Cup qualification,6
Bosnia and Herzegovina,Greece,3,1,FIFA World Cup qualification,2
Bulgaria,Malta,6,0,FIFA World Cup qualification,6
Colombia,Bolivia,5,0,FIFA World Cup qualification,5
Croatia,Serbia,2,0,FIFA World Cup qualification,2
Czech Republic,Denmark,0,3,FIFA World Cup qualification,3
Egypt,Eswatini,10,0,Friendly,10
France,Georgia,3,1,FIFA World Cup qualification,2
Kazakhstan,Germany,0,3,FIFA World Cup qualification,3
Lebanon,Thailand,5,2,AFC Asian Cup qualification,3
North Macedonia,Belgium,0,2,FIFA World Cup qualification,2
Netherlands,Estonia,3,0,FIFA World Cup qualification,3
Poland,Ukraine,1,3,FIFA World Cup qualification,2
San Marino,England,0,8,FIFA World Cup qualification,8
Tahiti,Solomon Islands,2,0,FIFA World Cup qualification,2
Turkmenistan,Cambodia,7,0,AFC Challenge Cup qualification,7
Burkina Faso,Niger,4,0,FIFA World Cup qualification,4
Ivory Coast,Gambia,3,0,FIFA World Cup qualification,3
South Africa,Central African Republic,2,0,FIFA World Cup qualification,2
Dominican Republic,Haiti,3,1,Friendly,2
Equatorial Guinea,Cape Verde,0,3,FIFA World Cup qualification,3
Ghana,Sudan,4,0,FIFA World Cup qualification,4
Liberia,Uganda,2,0,FIFA World Cup qualification,2
Philippines,Cambodia,8,0,AFC Challenge Cup qualification,8
Tanzania,Morocco,3,1,FIFA World Cup qualification,2
Canada,Belarus,0,2,Friendly,2
Albania,Lithuania,4,1,Friendly,3
Algeria,Benin,3,1,FIFA World Cup qualification,2
Armenia,Czech Republic,0,3,FIFA World Cup qualification,3
Azerbaijan,Portugal,0,2,FIFA World Cup qualification,2
Chile,Uruguay,2,0,FIFA World Cup qualification,2
Costa Rica,Jamaica,2,0,FIFA World Cup qualification,2
Ecuador,Paraguay,4,1,FIFA World Cup qualification,3
Estonia,Andorra,2,0,FIFA World Cup qualification,2
Germany,Kazakhstan,4,1,FIFA World Cup qualification,3
Luxembourg,Finland,0,3,Friendly,3
Malaysia,Palestine,0,2,Friendly,2
Malta,Italy,0,2,FIFA World Cup qualification,2
Netherlands,Romania,4,0,FIFA World Cup qualification,4
Northern Ireland,Israel,0,2,FIFA World Cup qualification,2
Panama,Honduras,2,0,FIFA World Cup qualification,2
Peru,Trinidad and Tobago,3,0,Friendly,3
Poland,San Marino,5,0,FIFA World Cup qualification,5
Serbia,Scotland,2,0,FIFA World Cup qualification,2
Solomon Islands,New Zealand,0,2,FIFA World Cup qualification,2
Bolivia,Brazil,0,4,Friendly,4
Qatar,Palestine,2,0,Friendly,2
Saint Vincent and the Grenadines,Saint Lucia,0,2,Windward Islands Tournament,2
Zambia,Zimbabwe,2,0,Friendly,2
Libya,Mauritania,2,0,Friendly,2
Oman,Iran,3,1,Friendly,2
Qatar,Latvia,3,1,Friendly,2
Ethiopia,Sudan,2,0,Friendly,2
Ecuador,Germany,2,4,Friendly,2
United States,Belgium,2,4,Friendly,2
Japan,Bulgaria,0,2,Kirin Challenge Cup,2
Italy,San Marino,4,0,Friendly,4
Turkey,Slovenia,0,2,Friendly,2
Libya,Uganda,3,0,Friendly,3
Algeria,Burkina Faso,2,0,Friendly,2
Honduras,Israel,0,2,Friendly,2
Republic of Ireland,Georgia,4,0,Friendly,4
Lesotho,South Africa,0,2,Friendly,2
Estonia,Belarus,0,2,Friendly,2
Myanmar,Singapore,0,2,Friendly,2
Poland,Liechtenstein,2,0,Friendly,2
Romania,Trinidad and Tobago,4,0,Friendly,4
Iceland,Slovenia,2,4,FIFA World Cup qualification,2
Indonesia,Netherlands,0,3,Friendly,3
Republic of Ireland,Faroe Islands,3,0,FIFA World Cup qualification,3
Laos,Singapore,2,5,Friendly,3
Latvia,Bosnia and Herzegovina,0,5,FIFA World Cup qualification,5
Montenegro,Ukraine,0,4,FIFA World Cup qualification,4
Sudan,Ghana,1,3,FIFA World Cup qualification,2
Botswana,Ethiopia,3,0,FIFA World Cup qualification,3
Cape Verde,Equatorial Guinea,3,0,FIFA World Cup qualification,3
Central African Republic,South Africa,0,3,FIFA World Cup qualification,3
Gambia,Ivory Coast,0,3,FIFA World Cup qualification,3
Zambia,Lesotho,4,0,FIFA World Cup qualification,4
Benin,Algeria,1,3,FIFA World Cup qualification,2
Brazil,France,3,0,Friendly,3
Guinea,Mozambique,6,1,FIFA World Cup qualification,5
Togo,Cameroon,0,3,FIFA World Cup qualification,3
Zimbabwe,Egypt,2,4,FIFA World Cup qualification,2
Australia,Jordan,4,0,FIFA World Cup qualification,4
Chile,Bolivia,3,1,FIFA World Cup qualification,2
China PR,Netherlands,0,2,Friendly,2
Colombia,Peru,2,0,FIFA World Cup qualification,2
Denmark,Armenia,0,4,FIFA World Cup qualification,4
Honduras,Jamaica,2,0,FIFA World Cup qualification,2
Iran,Lebanon,4,0,FIFA World Cup qualification,4
Norway,North Macedonia,2,0,Friendly,2
Spain,Republic of Ireland,2,0,Friendly,2
Sweden,Faroe Islands,2,0,FIFA World Cup qualification,2
United States,Panama,2,0,FIFA World Cup qualification,2
Guatemala,Argentina,0,4,Friendly,4
Libya,Togo,2,0,FIFA World Cup qualification,2
Brazil,Japan,3,0,Confederations Cup,3
China PR,Thailand,1,5,Friendly,4
Gabon,Niger,4,1,FIFA World Cup qualification,3
Morocco,Gambia,2,0,FIFA World Cup qualification,2
Lesotho,Ghana,0,2,FIFA World Cup qualification,2
Liberia,Senegal,0,2,FIFA World Cup qualification,2
Tanzania,Ivory Coast,2,4,FIFA World Cup qualification,2
Tahiti,Nigeria,1,6,Confederations Cup,5
Costa Rica,Panama,2,0,FIFA World Cup qualification,2
Uzbekistan,Qatar,5,1,FIFA World Cup qualification,4
Brazil,Mexico,2,0,Confederations Cup,2
Spain,Tahiti,10,0,Confederations Cup,10
Brazil,Italy,4,2,Confederations Cup,2
Monaco,Vatican City,2,0,Friendly,2
Nigeria,Spain,0,3,Confederations Cup,3
Uruguay,Tahiti,8,0,Confederations Cup,8
Brazil,Spain,3,0,Confederations Cup,3
Mali,Guinea,3,1,African Nations Championship,2
Nigeria,Ivory Coast,4,1,African Nations Championship,3
Haiti,Honduras,0,2,Gold Cup,2
Namibia,Seychelles,4,2,COSAFA Cup,2
Costa Rica,Cuba,3,0,Gold Cup,3
Kenya,Eswatini,2,0,COSAFA Cup,2
United States,Belize,6,1,Gold Cup,5
Mauritius,Seychelles,4,0,COSAFA Cup,4
Lesotho,Eswatini,2,0,COSAFA Cup,2
Mexico,Canada,2,0,Gold Cup,2
Trinidad and Tobago,Haiti,0,2,Gold Cup,2
United States,Cuba,4,1,Gold Cup,3
Martinique,Mexico,1,3,Gold Cup,2
Zambia,Mozambique,3,1,COSAFA Cup,2
Bermuda,Greenland,3,0,Island Games,3
Honduras,Trinidad and Tobago,0,2,Gold Cup,2
Bermuda,Falkland Islands,8,0,Island Games,8
Greenland,Frøya,12,0,Island Games,12
Cuba,Belize,4,0,Gold Cup,4
Falkland Islands,Greenland,0,9,Island Games,9
Bermuda,Frøya,8,0,Island Games,8
Falkland Islands,Frøya,6,0,Island Games,6
Mauritania,Senegal,2,0,African Nations Championship,2
Panama,Cuba,6,1,Gold Cup,5
Zambia,Zimbabwe,2,0,COSAFA Cup,2
United States,El Salvador,5,1,Gold Cup,4
United States,Honduras,3,1,Gold Cup,2
Ivory Coast,Nigeria,2,0,African Nations Championship,2
Uganda,Tanzania,3,1,African Nations Championship,2
Mauritius,Zimbabwe,0,3,African Nations Championship,3
Mozambique,Namibia,3,0,African Nations Championship,3
Namibia,Mozambique,3,0,African Nations Championship,3
Albania,Armenia,2,0,Friendly,2
Austria,Greece,0,2,Friendly,2
Azerbaijan,Malta,3,0,Friendly,3
Chile,Iraq,6,0,Friendly,6
Dominican Republic,Costa Rica,0,4,Friendly,4
Ecuador,Spain,0,2,Friendly,2
Egypt,Uganda,3,0,Friendly,3
Finland,Slovenia,2,0,Friendly,2
Indonesia,Philippines,2,0,Friendly,2
Japan,Uruguay,2,4,Friendly,2
North Macedonia,Bulgaria,2,0,Friendly,2
Mexico,Ivory Coast,4,1,Friendly,3
Singapore,Oman,0,2,AFC Asian Cup qualification,2
South Africa,Nigeria,0,2,Friendly,2
Sweden,Norway,4,2,Friendly,2
Tajikistan,India,3,0,Friendly,3
Tunisia,Congo,3,0,Friendly,3
Ukraine,Israel,2,0,Friendly,2
South Africa,Burkina Faso,2,0,Friendly,2
Afghanistan,Pakistan,3,0,Friendly,3
Botswana,Uganda,1,3,Friendly,2
Nepal,Bangladesh,2,0,SAFF Cup,2
Afghanistan,Bhutan,3,0,SAFF Cup,3
Maldives,Sri Lanka,10,0,SAFF Cup,10
Bhutan,Maldives,2,8,SAFF Cup,6
Sri Lanka,Afghanistan,1,3,SAFF Cup,2
Qatar,Mauritius,3,0,Friendly,3
Belarus,Kyrgyzstan,3,1,Friendly,2
Chile,Venezuela,3,0,FIFA World Cup qualification,3
China PR,Singapore,6,1,Friendly,5
Costa Rica,United States,3,1,FIFA World Cup qualification,2
England,Moldova,4,0,FIFA World Cup qualification,4
Finland,Spain,0,2,FIFA World Cup qualification,2
Germany,Austria,3,0,FIFA World Cup qualification,3
Japan,Guatemala,3,0,Friendly,3
South Korea,Haiti,4,1,Friendly,3
Lebanon,Syria,2,0,Friendly,2
Northern Ireland,Portugal,2,4,FIFA World Cup qualification,2
Norway,Cyprus,2,0,FIFA World Cup qualification,2
Paraguay,Bolivia,4,0,FIFA World Cup qualification,4
Romania,Hungary,3,0,FIFA World Cup qualification,3
Russia,Luxembourg,4,1,FIFA World Cup qualification,3
Scotland,Belgium,0,2,FIFA World Cup qualification,2
Sri Lanka,Bhutan,5,2,SAFF Cup,3
Turkey,Andorra,5,0,FIFA World Cup qualification,5
Ukraine,San Marino,9,0,FIFA World Cup qualification,9
Angola,Liberia,4,1,FIFA World Cup qualification,3
Brazil,Australia,6,0,Friendly,6
Gambia,Tanzania,2,0,FIFA World Cup qualification,2
Nigeria,Malawi,2,0,FIFA World Cup qualification,2
South Africa,Botswana,4,1,FIFA World Cup qualification,3
Tunisia,Cape Verde,3,0,FIFA World Cup qualification,3
Benin,Rwanda,2,0,FIFA World Cup qualification,2
Sudan,Lesotho,1,3,FIFA World Cup qualification,2
Saudi Arabia,Trinidad and Tobago,1,3,OSN Cup,2
United Arab Emirates,New Zealand,2,0,OSN Cup,2
Andorra,Netherlands,0,2,FIFA World Cup qualification,2
Belarus,France,2,4,FIFA World Cup qualification,2
Brazil,Portugal,3,1,Friendly,2
China PR,Malaysia,2,0,Friendly,2
Cyprus,Slovenia,0,2,FIFA World Cup qualification,2
Egypt,Guinea,4,2,FIFA World Cup qualification,2
Faroe Islands,Germany,0,3,FIFA World Cup qualification,3
Hungary,Estonia,5,1,FIFA World Cup qualification,4
Japan,Ghana,3,1,Friendly,2
Lithuania,Liechtenstein,2,0,FIFA World Cup qualification,2
Nigeria,Burkina Faso,4,1,Friendly,3
Norway,Switzerland,0,2,FIFA World Cup qualification,2
Paraguay,Argentina,2,5,FIFA World Cup qualification,3
Romania,Turkey,0,2,FIFA World Cup qualification,2
Russia,Israel,3,1,FIFA World Cup qualification,2
San Marino,Poland,1,5,FIFA World Cup qualification,4
Uruguay,Colombia,2,0,FIFA World Cup qualification,2
United States,Mexico,2,0,FIFA World Cup qualification,2
Wales,Serbia,0,3,FIFA World Cup qualification,3
Egypt,Uganda,2,0,Friendly,2
Andorra,Romania,0,4,FIFA World Cup qualification,4
Argentina,Peru,3,1,FIFA World Cup qualification,2
Azerbaijan,Northern Ireland,2,0,FIFA World Cup qualification,2
Bosnia and Herzegovina,Liechtenstein,4,1,FIFA World Cup qualification,3
England,Montenegro,4,1,FIFA World Cup qualification,3
Estonia,Turkey,0,2,FIFA World Cup qualification,2
France,Australia,6,0,Friendly,6
Germany,Republic of Ireland,3,0,FIFA World Cup qualification,3
Iceland,Cyprus,2,0,FIFA World Cup qualification,2
Lithuania,Latvia,2,0,FIFA World Cup qualification,2
Luxembourg,Russia,0,4,FIFA World Cup qualification,4
Malta,Czech Republic,1,4,FIFA World Cup qualification,3
Moldova,San Marino,3,0,FIFA World Cup qualification,3
Netherlands,Hungary,8,1,FIFA World Cup qualification,7
Serbia,Japan,2,0,Friendly,2
Slovenia,Norway,3,0,FIFA World Cup qualification,3
United States,Jamaica,2,0,FIFA World Cup qualification,2
Ivory Coast,Senegal,3,1,FIFA World Cup qualification,2
South Korea,Brazil,0,2,Friendly,2
Qatar,Yemen,6,0,AFC Asian Cup qualification,6
Australia,Canada,3,0,Friendly,3
Brazil,Zambia,2,0,Friendly,2
Denmark,Malta,6,0,FIFA World Cup qualification,6
England,Poland,2,0,FIFA World Cup qualification,2
Faroe Islands,Austria,0,3,FIFA World Cup qualification,3
France,Finland,3,0,FIFA World Cup qualification,3
